id,user_id,location_id,duration,start_day,end_day,start_min,end_min,weekday
0,1,0,77.0,0,0,1268,1346,6
1,1,0,145.0,0,1,1368,73,6
2,1,0,40.0,1,1,143,183,0
3,1,0,162.0,1,1,236,399,0
4,1,1,71.0,1,1,399,471,0
5,1,2,555.0,326,327,1109,225,3
6,1,3,401.0,327,327,225,627,4
7,1,2,292.0,327,327,627,920,4
8,1,2,368.0,327,327,981,1349,4
9,1,2,71.0,327,327,1361,1432,4
10,1,2,58.0,328,328,7,65,5
11,1,2,31.0,328,328,97,129,5
12,1,2,191.0,328,328,146,337,5
13,1,2,52.0,328,328,351,404,5
14,1,2,82.0,328,328,422,504,5
15,1,2,151.0,328,328,521,673,5
16,1,2,760.0,328,329,721,41,5
17,1,2,70.0,329,329,54,125,6
18,1,2,37.0,329,329,140,177,6
19,1,2,154.0,329,329,200,355,6
20,1,2,194.0,329,329,370,565,6
21,1,2,98.0,329,329,580,679,6
22,1,2,416.0,329,329,700,1116,6
23,1,4,568.0,329,330,1158,287,6
24,1,4,66.0,330,330,356,422,0
25,1,4,538.0,330,330,522,1061,0
26,1,4,102.0,330,330,1223,1325,0
27,1,4,1402.0,330,331,1349,1311,0
28,1,4,491.0,331,332,1334,385,1
29,1,4,1524.0,366,367,420,505,1
30,1,4,147.0,367,367,542,689,2
31,1,4,35.0,367,367,737,772,2
32,2,0,77.0,0,0,1268,1346,6
33,2,0,145.0,0,1,1368,73,6
34,2,0,40.0,1,1,143,183,0
35,2,0,162.0,1,1,236,399,0
36,2,1,71.0,1,1,399,471,0
37,2,2,379.0,327,328,1096,35,4
38,2,2,101.0,328,328,82,183,5
39,2,3,116.0,328,328,222,338,5
40,2,2,39.0,328,328,460,500,5
41,2,2,112.0,328,328,527,640,5
42,2,2,130.0,328,328,800,931,5
43,2,2,678.0,328,329,995,233,5
44,2,2,932.0,329,329,256,1188,6
45,2,4,1108.0,331,331,72,1181,1
46,2,4,179.0,331,331,1207,1386,1
47,2,4,56.0,331,332,1414,30,1
48,2,4,56.0,332,332,76,133,2
